,dt,assetclass,c1,c2,trade_id,notional_currency_1
0,2018-08-13 13:34:14.730845,IR,Jamie Castro,Angela Villegas,66318341-93c2-43a6-93bc-a56ef2edc1b4,USD
1,2018-08-13 13:34:14.730845,FX,Tina Flores,Justin Flores MD,c276b765-27eb-4ae5-8603-5ca66251ed58,GBP
2,2018-08-13 13:34:14.730845,FX,Whitney Fletcher,Laura Bartlett,73ad917d-293b-4807-8330-4252b9c13659,USD
3,2018-08-13 13:34:14.730845,EQ,Evan Fox,Paul Davis,9b201bd8-5ef0-46ae-8240-c8680b95c424,EUR
4,2018-08-13 13:34:14.730845,IR,Craig Miller,Tiffany Brewer,75adf22a-5f23-4d18-ada5-698b23119c7e,EUR
5,2018-08-13 13:34:14.730845,FX,Lawrence Smith,Timothy Rodriguez,4ab87dce-647c-4888-b687-a3d8c6d0667f,USD
6,2018-08-13 13:34:14.730845,FX,Jasmine Ortiz,Richard Robertson,155c5a84-63c3-4f6a-ac41-280e64ecf92e,EUR
7,2018-08-13 13:34:14.730845,IR,Patrick Moyer,Jason Miller,ac86d8f7-85d9-4ac8-841c-02829984fb0d,USD
8,2018-08-13 13:34:14.730845,IR,Andrew Thomas,Mark Washington,1e93732a-9199-4092-94a6-0d05b804ff51,EUR
9,2018-08-13 13:34:14.730845,IR,Jennifer Boyd,Gregory Reid,dcfc870e-6fe3-4c12-b730-0dcab381017c,USD
10,2018-08-13 13:34:14.730845,EQ,Billy Miranda,John Travis,d067ae73-31c2-4078-9e26-bd43a0a06570,USD
11,2018-08-13 13:34:14.730845,EQ,Kevin Estrada,Leah Smith,79f1003c-3614-4c90-afa1-716f94469712,EUR
12,2018-08-13 13:34:14.730845,EQ,Kelly Carrillo,Jason Bishop,cb9d0159-4ca5-4464-ab08-5b0da5879a85,USD
13,2018-08-13 13:34:14.730845,EQ,Travis Snyder,Ryan Williams,3b25d1d0-d809-4e84-916d-ca2780734139,EUR
14,2018-08-13 13:34:14.730845,IR,Joshua Smith,Timothy Johnson,522d02e0-6191-40cd-ab86-0f190c075f39,EUR
15,2018-08-13 13:34:14.730845,EQ,Emily Vasquez,Crystal Brown,17073d35-f202-4485-ac71-fc4e4a577c4d,USD
16,2018-08-13 13:34:14.730845,EQ,Kristy Fisher,Emily Smith,befc95d5-9e9f-4157-90e2-4a3192ee80d8,EUR
17,2018-08-13 13:34:14.730845,CM,Patricia Wright,Theresa Lewis,2048e3f5-4651-4045-b776-5543cd05dc3b,USD
18,2018-08-13 13:34:14.730845,IR,Vanessa Dixon,Jose Cole,d5e3c3db-8a71-4706-a77e-eae7e1d190fe,USD
19,2018-08-13 13:34:14.730845,EQ,Victor Fernandez,Donald Lang,c83cd08e-0954-4856-9bb6-874f6dba69a7,EUR
20,2018-08-13 13:34:14.730845,IR,Pamela Mcdonald,Thomas Garcia,65537ea4-c3ac-4a87-8c7e-b87d092b1677,EUR
21,2018-08-13 13:34:14.730845,IR,Joshua Morales,Tina Hall,2fb10604-2f0d-43a2-9627-fee06f674597,USD
22,2018-08-13 13:34:14.730845,FX,Kathryn Allison,Nancy Williams,61576084-6938-4636-9ee6-93cdb61be49d,GBP
23,2018-08-13 13:34:14.730845,IR,Rachel Sharp,Shawn Pollard,414cdcfa-d12f-44a8-a1af-40a7e7f42b19,EUR
24,2018-08-13 13:34:14.730845,IR,Scott Brown,Thomas Lawrence,c0317869-0b6a-4b1f-87f0-8943b4610cae,EUR
25,2018-08-13 13:34:14.730845,EQ,Tara Rodriguez,Ruth Stevens,0a1c7a2c-aaa1-4667-bbf8-501de581fe8a,EUR
26,2018-08-13 13:34:14.730845,EQ,Michael Diaz,Theodore Smith,f3cd9b9d-ff50-4586-badb-2a8e8ba46418,GBP
27,2018-08-13 13:34:14.730845,FX,Jennifer Anderson,Mary Mcguire,82b0fedd-6667-4cd4-b07b-537132fc2dbf,EUR
28,2018-08-13 13:34:14.730845,EQ,Jeremy Terry,David Davis,16ac3c66-5cea-44f9-a2bc-9f7619883523,EUR
29,2018-08-13 13:34:14.730845,EQ,Raymond Thomas,Timothy Rodriguez,1ef6a0ab-3ff2-4ee6-9ad1-a550e3268f31,EUR
30,2018-08-13 13:34:14.730845,FX,Andrea Brown,Sarah Jones,3e79d271-cc3f-4584-b953-e3277170e38b,USD
31,2018-08-13 13:34:14.730845,IR,Jessica Lowe,Alicia Carson,55309c35-c848-4f33-a138-efacd103337e,EUR
32,2018-08-13 13:34:14.730845,EQ,Jeffrey Robinson,Randall Glover,7157c30d-1c4c-4be5-a9ab-fb549f392f7f,EUR
33,2018-08-13 13:34:14.730845,EQ,Ernest Brown,Maria Taylor,0618b23f-0e83-4e73-9b79-1467700db395,EUR
34,2018-08-13 13:34:14.730845,EQ,Aaron Adams,Jason Jackson,680dbcd6-49b8-4cb2-95bb-2110fb772c26,USD
35,2018-08-13 13:34:14.730845,EQ,Leslie Evans,Alicia Carson,bc712cbb-e46e-4f2a-8321-d8ec92be0c02,EUR
36,2018-08-13 13:34:14.730845,FX,Sharon Mitchell,Brandon Arnold,bc7ba996-93a0-4704-84af-44c828b7b950,USD
37,2018-08-13 13:34:14.730845,EQ,Victoria Scott,Heidi Watson,56daf3a4-6d74-43ae-8871-69bd58ca3567,GBP
38,2018-08-13 13:34:14.730845,CM,Steven Green,Deborah Owens,93c0e462-a2ed-461c-b04a-34c6259f0f13,USD
39,2018-08-13 13:34:14.730845,EQ,Jordan Taylor,Samantha Ross,60ae2b12-390f-48c2-b832-39b930f9d7ab,EUR
40,2018-08-13 13:34:14.730845,EQ,Reginald Williams,Elizabeth Copeland,49868387-579a-4a32-be3d-4e5c9dc4f704,EUR
41,2018-08-13 13:34:14.730845,CM,Scott Levy,Brooke Carter MD,0e303806-be10-4ced-bccc-c723a99e248b,EUR
42,2018-08-13 13:34:14.730845,EQ,Peter White,Christopher Powell,c56f0702-41db-4171-8308-c3ab38fdbd15,USD
43,2018-08-13 13:34:14.730845,IR,Dale Clark Jr.,Justin Hensley,06e4f0e2-32b2-4cf2-9cb0-a58830f614ef,EUR
44,2018-08-13 13:34:14.730845,EQ,Steven Wilson,William Jackson,56160297-4148-4b8e-890e-7c418fdf399b,USD
45,2018-08-13 13:34:14.730845,CM,Todd Allen,Joseph Frank,b93ef50a-1be2-4f1c-97e9-d5522a1326ef,USD
46,2018-08-13 13:34:14.730845,EQ,Shane Harrell,Deborah Ruiz,a92a8740-af24-4c0e-a12b-40ddd0bc1649,USD
47,2018-08-13 13:34:14.730845,CM,James Ramos,Hannah Clark,2cf0c483-29e9-4645-858c-dbb976a2b90f,USD
48,2018-08-13 13:34:14.730845,FX,Bridget Chapman,Jasmine Curtis,05565f8b-3f21-4a94-bdcc-ec8cc847a084,USD
49,2018-08-13 13:34:14.730845,EQ,Morgan Koch,Margaret Peterson,c750c50e-03c6-49d9-8e95-06641a27f129,EUR
50,2018-08-13 13:34:14.730845,EQ,Melanie Mendoza,Linda Young,2bfff56c-4b5f-4e52-acb7-153569e4c6d1,USD
51,2018-08-13 13:34:14.730845,EQ,Matthew Wallace,Shane Wilcox,3ada335d-6c03-4a67-877f-3bdde1816eed,USD
52,2018-08-13 13:34:14.730845,EQ,Kimberly Watson,Mary Vaughn,18cd7998-c1bc-489e-b116-835170cd1062,EUR
53,2018-08-13 13:34:14.730845,IR,Randy Miller,Renee Hall,ef3d9a28-1dc2-4427-94ab-7762fb6678ad,EUR
54,2018-08-13 13:34:14.730845,IR,Amanda Chaney,Sandra Harmon,075c2d3a-4969-4513-928c-2b057c521b90,EUR
55,2018-08-13 13:34:14.730845,EQ,Mr. Andrew Hayes,Meghan Jones,fa2df4cf-c35b-42d6-b1dc-25edb4df2ea4,USD
56,2018-08-13 13:34:14.730845,EQ,Jacqueline Allen,Jennifer White,20f60a87-8bd5-4c51-ada4-7df1620e0b66,USD
57,2018-08-13 13:34:14.730845,IR,Kenneth Cox,Erica Rice,d02d10e4-56db-4a24-8b12-a5564054be7c,EUR
58,2018-08-13 13:34:14.730845,EQ,Shelly Gonzales,Kathryn Murphy,b01d23c7-5132-4cb6-8afa-585804b321ea,USD
59,2018-08-13 13:34:14.730845,IR,Kristin Dalton,Jean Johnson,b759aa5a-6f60-4dcd-b350-f7769c2eff09,EUR
60,2018-08-13 13:34:14.730845,EQ,Michael Jones,Megan Joseph,94d2c2a4-1290-4af0-a0eb-5ca5ebab5330,GBP
61,2018-08-13 13:34:14.730845,IR,Robert Mack,Christopher Anderson,a863869d-7ae9-4211-8e9a-45fc65ea9710,USD
62,2018-08-13 13:34:14.730845,FX,Bridget Evans,William Hutchinson,6ee4db8c-d79d-4d70-882e-3dbc251e654a,GBP
63,2018-08-13 13:34:14.730845,EQ,John Huang,Lisa Mcmillan,35d72e2d-3abf-4f26-b692-6929417057e1,USD
64,2018-08-13 13:34:14.730845,FX,Michael Fox,Mary Guerra,366dbb8c-9097-42d5-b7eb-a18501ec2b3f,GBP
65,2018-08-13 13:34:14.730845,IR,Whitney Fletcher,Amy Rodriguez,80407a20-45b3-4ac5-a988-d7c6b7ce26e0,EUR
66,2018-08-13 13:34:14.730845,IR,Paul Todd,Timothy Moreno,2065f866-b708-4685-b04a-9985f55e5f97,EUR
67,2018-08-13 13:34:14.730845,FX,Marissa Martin,Shane Sosa,98eeca00-b34a-4d2d-95dc-463bcaa93727,USD
68,2018-08-13 13:34:14.730845,FX,Michael Christensen,James Kidd,b56a775c-6d94-4c7d-b381-ea39d2b410af,GBP
69,2018-08-13 13:34:14.730845,FX,Eric Powell,Matthew Wood,dcfad218-4a3a-441a-b281-6faa4191673a,EUR
70,2018-08-13 13:34:14.730845,EQ,Xavier Smith,Teresa Smith,52ecd0cc-d151-452b-be9c-119ba8ec71c7,EUR
71,2018-08-13 13:34:14.730845,CM,Erin Castillo,Matthew Stone,f9f4a6c6-a983-43b6-b4f1-74850bdf486b,EUR
72,2018-08-13 13:34:14.730845,EQ,Sarah Myers,Mr. Jonathan Hernandez MD,456a3b11-b86c-4be4-b724-a6a5c748ac37,USD
73,2018-08-13 13:34:14.730845,EQ,Michael Thompson,Kevin Chavez,db22fd16-f4f0-477d-980c-12630f17b009,GBP
74,2018-08-13 13:34:14.730845,EQ,David Zamora,Brandon Rocha,2c0811d2-c18b-435f-ae20-757ee3823c31,USD
75,2018-08-13 13:34:14.730845,IR,Tracy Collins,Kaitlin Johnson,b6fb4139-5a43-483b-91cc-b7157ff59666,USD
76,2018-08-13 13:34:14.730845,IR,Matthew Humphrey,Edwin King,478782c7-ca29-402d-9a26-c947882f1113,USD
77,2018-08-13 13:34:14.730845,EQ,Eric Powell,Cheryl White,6b780234-a0e5-4436-9539-2839c1c6b18a,USD
78,2018-08-13 13:34:14.730845,EQ,Taylor Daniels,Gabriella Hart,ba428d5b-17a5-4a16-9b40-36fdd5af427b,USD
79,2018-08-13 13:34:14.730845,CM,Kathy Greene,Ashley Fuller,e60c05a5-1db1-4f8c-be49-8aca15bd5633,EUR
80,2018-08-13 13:34:14.730845,FX,Daniel Curtis,Paige Shaw,3f5110b9-986e-4224-8b77-f65f27681e9f,EUR
81,2018-08-13 13:34:14.730845,EQ,Thomas Mullen,Anna Powers,1641ec7e-9308-43bf-bf3c-f93fbb9d1f68,EUR
82,2018-08-13 13:34:14.730845,IR,Amber Thompson,Benjamin King,0bf6d5b1-ea7c-4131-872d-9dcc7de636b5,GBP
83,2018-08-13 13:34:14.730845,IR,Jocelyn Hill,Samantha Ross,2ab458b4-7ccd-4286-8e47-0436dd596e52,USD
84,2018-08-13 13:34:14.730845,EQ,Amanda Santos,John Cook,5af6884a-d6e9-45d9-b8fa-d4a2ff7ce015,USD
85,2018-08-13 13:34:14.730845,CM,Heidi Cardenas,William Beard,4201e88d-56a0-4321-ae8d-3753ac1960f3,USD
86,2018-08-13 13:34:14.730845,IR,Jose Perry,Leslie Jones,cb7a7372-9894-43f8-ae6c-0a03fff4c8e0,USD
87,2018-08-13 13:34:14.730845,EQ,Michele Sanchez,Misty White,c8ffda6d-4e7d-48b1-83f7-cd6a39525ac9,EUR
88,2018-08-13 13:34:14.730845,IR,David Davis,Jocelyn Hill,9ecea78d-733b-4875-bd0f-68fe1ce18b6a,EUR
89,2018-08-13 13:34:14.730845,CM,John Harmon,Lisa Berger,2fb0a350-9ee0-43ee-8302-aca78f5e8945,USD
90,2018-08-13 13:34:14.730845,EQ,Christopher Owens,Michael Mills,352776c4-93ac-4d19-af66-df8142e58f63,USD
91,2018-08-13 13:34:14.730845,IR,Chelsea Armstrong,Taylor Lambert,0edbbf49-ac05-416f-bc33-46e085fe423a,USD
92,2018-08-13 13:34:14.730845,IR,Michelle Peters,Karen Barnes,0ecc18d0-de28-4feb-95d4-8643072efd67,EUR
93,2018-08-13 13:34:14.730845,EQ,James Smith,Matthew Anderson,b8d8991d-3580-48bb-b01a-c95b4c49f608,USD
94,2018-08-13 13:34:14.730845,CM,Jill Mitchell,Andrew Scott,5d2cabbd-aa7f-4b4d-af16-4a896e0ad020,USD
95,2018-08-13 13:34:14.730845,EQ,Tara Martin,Stacey Vega,97dc57bc-2633-4f6b-862e-5884a4c28e28,GBP
96,2018-08-13 13:34:14.730845,IR,Hannah Jackson,David Long,1c2bb067-e240-458d-bca0-174ccbb4cc89,GBP
97,2018-08-13 13:34:14.730845,EQ,Kevin Smith,Tracey Wheeler,1d535938-fddd-4b5b-9e98-7527f4f0222b,GBP
98,2018-08-13 13:34:14.730845,IR,Thomas Fritz,Michelle Mendez,3c4b5b73-cb17-4b88-a7b2-9ff8a110ef33,EUR
99,2018-08-13 13:34:14.730845,EQ,Jordan Cummings,Nicholas Roberts,da1d7d8d-a309-40ec-bcde-0fa5895196b6,GBP
100,2018-08-13 13:34:14.730845,FX,Teresa Smith,Diane Watkins,c83f170d-016e-4dbd-ac50-ce9660a089e6,USD
101,2018-08-13 13:34:14.730845,EQ,Eric Smith,Megan Church,eb914f65-c5be-4915-a1b7-85efb5fe85a9,EUR
102,2018-08-13 13:34:14.730845,EQ,Rhonda Hammond,Julian Gardner,fbb8bca7-2204-4b94-98ff-de6b92968f50,EUR
103,2018-08-13 13:34:14.730845,EQ,Anna Peterson,Jessica Myers,075cef8d-375f-46d7-b222-33c1e7a2a236,USD
104,2018-08-13 13:34:14.730845,EQ,Jon Woods,Brandon Arnold,31d6ee59-643c-4858-a415-d0902b11bddd,EUR
105,2018-08-13 13:34:14.730845,EQ,Crystal Brown,Christine Kelley,7d2d171c-a527-4738-be18-5edee2f76ca9,EUR
106,2018-08-13 13:34:14.730845,EQ,Alexander Cruz,Charles Lopez,10b2c5dc-8c9a-4aa6-a915-6698dc4e2f05,EUR
107,2018-08-13 13:34:14.730845,IR,Jennifer Boyd,David Love,3e2b2761-70b4-43ef-9812-6367f233cc59,USD
108,2018-08-13 13:34:14.730845,IR,Leslie Gardner,Andrew Burton,97a2b019-d6b3-42da-9187-cbb633876c33,EUR
109,2018-08-13 13:34:14.730845,IR,Kathryn Johnson,Lisa Robinson,32ecbeae-2c5a-458e-9333-d9b6d80e5d2b,USD
110,2018-08-13 13:34:14.730845,IR,Daniel Haynes,Colleen Hayes,11c0b396-7214-4c6d-84b9-880e618e038f,USD
111,2018-08-13 13:34:14.730845,IR,Tonya Perez,Heather Carr,5cbb321e-005b-46a9-af44-19ea48d195c1,USD
112,2018-08-13 13:34:14.730845,IR,Brandon Blackwell,Jackson Yu,88705b89-d47c-4db5-88d3-069e529518c4,EUR
113,2018-08-13 13:34:14.730845,EQ,Peter Bruce,James Mendez,bc46ab3d-7805-4ec1-bca9-8e418f8cf2db,EUR
114,2018-08-13 13:34:14.730845,FX,Holly Perry,Dominic Mcdaniel,04927465-61c1-419f-a841-f8ac773d73b5,USD
115,2018-08-13 13:34:14.730845,EQ,Dakota Fields,Jordan Singleton,b2a32ea5-fed3-4fe7-b7d2-16161faf1c03,USD
116,2018-08-13 13:34:14.730845,IR,April Moreno,Jennifer Conway,533d1927-4163-4291-93e1-a9f4866333a6,EUR
117,2018-08-13 13:34:14.730845,IR,Timothy Wade,Mr. Alexander Shannon Jr.,8081d5c3-935b-4c94-83e2-4292de24acfd,GBP
118,2018-08-13 13:34:14.730845,FX,Emily Smith,James Gray,42b9d0fa-8715-4f1a-8131-229d2d393841,EUR
119,2018-08-13 13:34:14.730845,IR,Kenneth Bryant,Michele Rogers,73084e8b-69fd-46e6-847b-dc6349f00c7e,EUR
120,2018-08-13 13:34:14.730845,EQ,Christopher Ritter,David Powell,504d5d2e-7d20-4c42-8bee-8dae1a00841f,USD
121,2018-08-13 13:34:14.730845,FX,Donald Oconnor,Alicia Lopez,3312006e-3b0c-45b6-b471-0683372bcd18,GBP
122,2018-08-13 13:34:14.730845,FX,Justin Hensley,John Villarreal,59487cc7-0773-44f4-90e4-c64a15eddbd7,USD
123,2018-08-13 13:34:14.730845,EQ,Michael Fox,Marcus Smith,4e51c75f-4c16-4416-9559-6729052c23cb,USD
124,2018-08-13 13:34:14.730845,EQ,Zachary Henderson,Barbara Steele,35e29cea-8bcb-4f4d-9311-af4ac054e597,EUR
125,2018-08-13 13:34:14.730845,IR,Joseph Gray,Kristy Fisher,6215c25b-dbc1-4283-a02b-d6cf9c5a2480,GBP
126,2018-08-13 13:34:14.730845,EQ,Joseph Williams,Jacqueline Tran,f4f96e65-6724-488f-a543-87017ced044c,EUR
127,2018-08-13 13:34:14.730845,IR,Heidi Cardenas,Michael Stewart,13eb5fc4-d3dd-4908-a388-2939384dcb82,EUR
128,2018-08-13 13:34:14.730845,EQ,Nathan Walker,Dwayne Parker,1ba1f3b0-14cc-4f39-a572-1e7f7e8fd7bc,USD
129,2018-08-13 13:34:14.730845,IR,David Zamora,Kimberly Fisher,809ac0b8-e150-4fc6-b3f6-150fc3603e80,USD
130,2018-08-13 13:34:14.730845,IR,Michelle Baird,Anne Rivera,3ece7a93-3f83-409a-b73c-7459440773bf,EUR
131,2018-08-13 13:34:14.730845,FX,Alyssa Lewis,Christopher Nelson,fcc05f19-fc95-42c1-aded-db5400801493,EUR
132,2018-08-13 13:34:14.730845,IR,Crystal Webb,Charles Morales,71ec34de-b8dc-4e68-a23a-70a9807726f7,USD
133,2018-08-13 13:34:14.730845,EQ,Ryan Mills,Michael Pope,93f18a22-e54c-4cee-b260-7e738d296863,EUR
134,2018-08-13 13:34:14.730845,FX,Albert Simmons,Angela Warren,c1807544-0d42-4742-8295-a9ebea949868,GBP
135,2018-08-13 13:34:14.730845,IR,Valerie Marshall,Shane Sosa,ca45842b-aeb4-497b-aed1-a18fea7f5e5d,EUR
136,2018-08-13 13:34:14.730845,FX,Daniel Ramirez,Dustin Sims,e528cd55-65cf-472a-8b92-128db3e034dd,USD
137,2018-08-13 13:34:14.730845,IR,Karen Rogers,Andrea Hogan,c4d26111-5c2e-4a6f-a167-b047f9784171,EUR
138,2018-08-13 13:34:14.730845,EQ,Sarah Mann,Leslie Kelly,7976a98a-77bc-4bb6-84c4-1d18f05b9a8a,EUR
139,2018-08-13 13:34:14.730845,FX,Jennifer Brady,Charles Morales,8c820e08-df62-4314-8d4e-03df9920e2b6,EUR
140,2018-08-13 13:34:14.730845,EQ,Sarah Romero MD,Ms. Nicole Horton,ecac4f8c-bd5a-41d5-8eda-ee2193e99d04,USD
141,2018-08-13 13:34:14.730845,FX,Breanna Martinez,Lee Shields,80a547b0-db53-4b5d-83f4-b1f000e14fb7,EUR
142,2018-08-13 13:34:14.730845,FX,Cynthia Lamb,Faith Smith,81a87d6f-ca0d-4b5c-8895-5ea07f77cc06,EUR
143,2018-08-13 13:34:14.730845,EQ,Jeffery Wolfe,Kristy Wilson,ba7b51ac-4afd-4535-bba2-74cd39dbb4b3,EUR
144,2018-08-13 13:34:14.730845,CM,Jonathan Myers,Jesse Freeman,93e28b24-ef46-4fd0-a878-a20b5b0bd625,USD
145,2018-08-13 13:34:14.730845,EQ,Joshua Saunders,Crystal Harper,897d3af0-d5b1-4642-a900-040386e20557,USD
146,2018-08-13 13:34:14.730845,FX,Matthew Lopez,Justin Munoz,6660e584-9740-4e3a-ab06-6145f01f3d97,EUR
